,Model,Accuracy,Precision,Recall,F1-Score,AUC
0,SupportVectorClassifier,81.0,0.7593333333333333,0.7733333333333333,0.7604093567251462,0.6752645502645502
1,RandomForestClassifier,72.0,0.5184,0.72,0.6027906976744185,0.5
2,NaiveBayes,70.0,0.6937022397891962,0.43666666666666665,0.42283040935672517,0.6976962081128748
3,LogisticRegression,81.67,0.7590528581679024,0.7666666666666667,0.7619222177673406,0.7727072310405645
