,Model,Homogeneity,Completeness,V_Measure
0,AgglomerativeClustering,0.5499444097096103,0.05712801988453375,0.1035040751044572
1,Birch,0.9954612035554993,0.08830279852835468,0.16221614656205105
2,DBSCAN,0.0028185733406844386,0.0469428189047689,0.005317848714879891
3,KMeans,0.026109044329452238,0.007741683992959055,0.011942311470028692
